age,gender,degree_level,field_of_study,gpa,years_experience,python,java,c_cpp,sql,machine_learning,data_analysis,cloud_computing,cybersecurity,web_development,devops,networking,communication,leadership,problem_solving,teamwork,adaptability,recommended_job_1,recommended_job_2,recommended_job_3
34,Male,Bachelor,Data Science,8.6,3,1,0,1,1,0,1,1,1,0,1,0,5,3,2,4,4,Business Intelligence Analyst,Software Engineer,Cloud Engineer
30,Female,PhD,Data Science,9.3,4,1,0,0,1,0,1,0,0,0,1,0,2,1,1,5,1,Business Intelligence Analyst,DevOps Engineer,AI Researcher
31,Female,PhD,Cybersecurity,6.8,8,1,0,0,1,1,1,0,0,0,0,0,4,2,1,3,2,Business Intelligence Analyst,Machine Learning Engineer,Data Scientist
25,Female,Bachelor,Data Science,6.2,1,0,1,0,0,1,1,1,0,1,0,0,2,5,5,1,5,Software Engineer,Cloud Engineer,Backend Developer
24,Female,Bachelor,Software Engineering,9.9,7,0,0,0,0,0,1,1,0,0,0,1,2,3,3,1,5,Cloud Engineer,AI Researcher,Security Engineer
29,Female,PhD,Data Science,6.4,2,1,1,1,0,0,1,0,0,1,0,1,1,3,3,4,1,Software Engineer,Backend Developer,Frontend Developer
34,Female,Bachelor,Computer Science,6.8,1,0,0,1,0,0,0,1,1,1,1,1,3,1,4,4,3,Software Engineer,Cloud Engineer,DevOps Engineer
33,Male,PhD,AI,8.4,0,0,1,1,1,0,0,0,0,0,0,1,3,1,1,2,5,Software Engineer,Backend Developer,Security Engineer
21,Female,Master,Cybersecurity,8.1,3,1,1,0,1,1,0,1,1,0,1,1,2,2,2,2,1,Machine Learning Engineer,Software Engineer,Cloud Engineer
34,Male,Master,Cybersecurity,10.0,1,1,1,0,1,1,1,0,0,0,1,0,4,1,4,5,3,AI Researcher,Business Intelligence Analyst,Machine Learning Engineer
33,Female,Master,Data Science,7.3,8,0,1,0,1,1,1,1,0,1,0,0,4,3,5,3,2,Business Intelligence Analyst,Software Engineer,Cloud Engineer
30,Male,Bachelor,AI,6.3,2,1,1,1,0,0,0,0,0,0,1,0,2,4,4,5,3,Software Engineer,DevOps Engineer,Backend Developer
29,Male,Bachelor,AI,8.7,5,0,1,1,0,1,1,1,1,1,1,0,1,3,5,5,2,Software Engineer,Cloud Engineer,DevOps Engineer
28,Male,Master,Cybersecurity,8.3,8,1,1,0,0,1,1,1,1,0,1,0,1,5,4,4,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
21,Female,Bachelor,Computer Science,8.6,4,1,0,1,1,0,1,1,0,1,1,0,1,3,1,1,5,Business Intelligence Analyst,Software Engineer,Cloud Engineer
34,Male,PhD,Cybersecurity,7.3,0,0,1,1,1,1,1,0,1,0,1,0,5,3,4,1,1,Business Intelligence Analyst,Software Engineer,DevOps Engineer
24,Male,Bachelor,Software Engineering,7.2,2,1,1,1,0,0,1,1,0,1,1,1,4,2,5,2,3,Software Engineer,Cloud Engineer,DevOps Engineer
21,Male,PhD,Cybersecurity,8.9,6,1,0,1,1,0,1,0,1,1,0,0,1,5,4,3,5,Business Intelligence Analyst,Software Engineer,Cybersecurity Analyst
24,Male,Master,Data Science,8.8,2,0,0,0,0,0,0,1,0,1,1,0,3,2,1,2,5,Cloud Engineer,DevOps Engineer,Frontend Developer
26,Male,PhD,AI,7.2,0,1,0,1,0,1,0,1,1,1,1,1,4,1,3,4,4,Machine Learning Engineer,Software Engineer,Cloud Engineer
26,Female,Master,Data Science,9.8,4,1,0,0,1,0,1,0,1,1,1,0,1,2,3,1,1,Business Intelligence Analyst,DevOps Engineer,Cybersecurity Analyst
26,Male,Master,Computer Science,9.9,4,1,0,0,0,0,0,1,1,0,0,0,5,2,3,2,3,Cloud Engineer,Cybersecurity Analyst,AI Researcher
21,Female,PhD,Computer Science,10.0,2,0,1,1,0,1,1,0,1,1,0,0,1,1,4,3,5,Software Engineer,Cybersecurity Analyst,AI Researcher
28,Female,PhD,Cybersecurity,7.7,0,0,0,0,1,0,1,0,0,0,0,0,5,2,5,4,3,Business Intelligence Analyst,Data Analyst,Data Scientist
26,Female,Bachelor,Computer Science,9.3,0,0,1,1,1,1,0,0,1,0,1,0,2,2,5,3,5,Software Engineer,DevOps Engineer,Cybersecurity Analyst
30,Male,PhD,Cybersecurity,6.8,0,0,0,1,1,1,1,0,0,0,1,0,3,2,1,1,5,Business Intelligence Analyst,Software Engineer,DevOps Engineer
21,Female,Bachelor,AI,8.3,3,0,1,0,1,0,1,0,0,0,1,0,2,2,1,2,5,Backend Developer,Business Intelligence Analyst,Software Engineer
21,Female,Master,Computer Science,8.0,5,1,1,0,0,0,1,0,1,1,1,1,2,4,5,3,5,Software Engineer,DevOps Engineer,Cybersecurity Analyst
24,Male,Bachelor,Computer Science,7.1,6,0,0,0,0,1,0,1,1,1,0,1,2,2,5,3,1,Cloud Engineer,Cybersecurity Analyst,Frontend Developer
35,Female,Bachelor,Data Science,8.3,2,1,0,0,0,0,0,0,1,0,1,0,4,1,1,1,5,DevOps Engineer,Cybersecurity Analyst,Business Intelligence Analyst
27,Male,Master,Software Engineering,6.3,4,1,0,1,1,0,0,0,1,1,1,1,1,3,5,2,5,Software Engineer,DevOps Engineer,Cybersecurity Analyst
22,Male,Master,AI,7.1,7,1,0,0,0,1,1,1,1,0,0,0,1,2,1,4,1,Machine Learning Engineer,Cloud Engineer,Cybersecurity Analyst
28,Male,PhD,AI,6.4,2,0,1,1,1,0,1,1,0,0,0,1,1,2,3,4,4,Cloud Engineer,Business Intelligence Analyst,Software Engineer
31,Female,Bachelor,AI,7.7,0,0,0,0,1,0,0,0,0,0,1,1,3,2,5,3,1,DevOps Engineer,Security Engineer,Machine Learning Engineer
32,Male,PhD,Cybersecurity,8.8,1,0,1,1,1,0,1,0,1,1,0,0,4,4,3,2,2,Business Intelligence Analyst,Software Engineer,Cybersecurity Analyst
28,Male,Bachelor,Cybersecurity,6.6,1,0,0,0,1,0,0,1,1,1,0,1,1,2,1,4,3,Cloud Engineer,Cybersecurity Analyst,Frontend Developer
35,Male,PhD,Data Science,9.3,1,1,1,1,0,1,0,0,0,1,1,1,5,2,2,5,4,AI Researcher,Machine Learning Engineer,Software Engineer
34,Male,Master,Data Science,6.4,1,0,0,1,1,1,0,1,1,0,1,1,4,4,4,5,5,Software Engineer,Cloud Engineer,DevOps Engineer
25,Female,Bachelor,Cybersecurity,6.4,0,1,0,1,0,1,0,1,1,1,0,1,5,5,5,2,2,Machine Learning Engineer,Software Engineer,Cloud Engineer
22,Male,PhD,Cybersecurity,9.3,3,0,1,1,1,0,1,1,1,1,0,0,2,5,1,3,3,Business Intelligence Analyst,Software Engineer,Cloud Engineer
28,Female,Master,Software Engineering,8.8,6,0,1,1,0,0,1,1,1,1,1,0,4,2,3,4,1,Software Engineer,Cloud Engineer,DevOps Engineer
24,Female,PhD,Cybersecurity,7.6,1,1,1,0,1,1,1,1,1,0,1,1,2,4,4,2,5,Machine Learning Engineer,Data Scientist,Business Intelligence Analyst
32,Male,Bachelor,Software Engineering,7.7,4,1,0,1,1,1,0,0,0,1,1,1,3,5,2,2,3,Machine Learning Engineer,Software Engineer,DevOps Engineer
31,Male,Bachelor,Data Science,7.1,5,1,0,1,1,0,0,1,1,1,1,0,2,4,3,3,2,Software Engineer,Cloud Engineer,DevOps Engineer
31,Female,PhD,Computer Science,7.8,4,0,1,1,1,0,0,1,0,1,0,1,5,3,1,2,5,Software Engineer,Cloud Engineer,Backend Developer
34,Female,PhD,Cybersecurity,7.2,7,1,0,0,1,0,1,0,0,0,1,1,1,5,4,3,2,Business Intelligence Analyst,DevOps Engineer,Data Analyst
22,Female,PhD,Computer Science,9.3,0,0,0,0,1,1,0,1,0,0,1,1,4,2,2,5,4,Cloud Engineer,DevOps Engineer,AI Researcher
26,Male,Master,Data Science,8.6,5,1,1,1,0,1,1,0,1,1,1,1,2,5,5,4,1,Machine Learning Engineer,Software Engineer,DevOps Engineer
30,Male,Bachelor,Software Engineering,7.4,6,1,0,0,0,1,0,1,0,1,1,1,3,2,1,2,5,Machine Learning Engineer,Cloud Engineer,DevOps Engineer
21,Male,Master,Computer Science,9.4,1,1,0,0,1,0,0,1,0,1,0,1,3,4,2,1,4,Cloud Engineer,AI Researcher,Frontend Developer
23,Male,Bachelor,Data Science,7.7,7,1,1,1,0,0,1,0,1,0,1,1,2,5,5,4,3,Software Engineer,DevOps Engineer,Cybersecurity Analyst
32,Female,Bachelor,AI,6.8,4,1,1,1,0,1,0,1,1,1,0,0,5,1,3,1,1,Machine Learning Engineer,Software Engineer,Cloud Engineer
29,Female,Master,Computer Science,8.1,0,0,1,0,1,0,0,0,0,0,0,1,3,5,2,4,5,Software Engineer,Backend Developer,Security Engineer
